Footfall,ID
905.178527832,3725712
1016.43634033,3725812
1058.47546387,3725912
1035.44726562,3726012
909.841491699,3726112
970.482299805,3726212
878.399230957,3726312
920.434936523,3726412
903.753662109,3726512
981.875488281,3726612
1018.31109619,3726712
883.695068359,3726812
775.648681641,3726912
713.372070312,3727012
750.612548828,3727112
848.459716797,3727212
951.730895996,3727312
914.314880371,3727412
925.235534668,3727512
959.1875,3727612
1041.5612793,3727712
935.708740234,3727812
860.854309082,3727912
900.803100586,3728012
935.059570312,3728112
968.066955566,3728212
812.264038086,3728312
796.197387695,3728412
823.51574707,3728512
811.185974121,3728612
851.345153809,3728712
688.929260254,3728812
826.772460938,3728912
848.908081055,3729012
843.331176758,3729112
777.319946289,3729212
739.573181152,3729312
833.978881836,3729412
814.08013916,3729512
790.329833984,3729612
765.673583984,3729712
966.766906738,3729812
983.199035645,3729912
980.196044922,3730012
964.536621094,3730112
1035.62585449,3730212
1019.35534668,3730312
1072.87719727,3730412
972.515625,3730512
985.109008789,3730612
1040.73583984,3730712
1108.89904785,3730812
1072.71081543,3730912
1066.22094727,3731012
1025.93688965,3731112
987.498962402,3731212
1054.55700684,3731312
1058.86230469,3731412
1031.4942627,3731512
985.404541016,3731612
891.630432129,3731712
996.516052246,3731812
999.831481934,3731912
945.84954834,3732012
915.063659668,3732112
1122.62121582,3732212
1064.05200195,3732312
1114.3782959,3732412
1110.21533203,3732512
1095.15124512,3732612
1041.52624512,3732712
1016.96643066,3732812
1002.20880127,3732912
989.815002441,3733012
1062.8782959,3733112
1058.96472168,3733212
1087.81176758,3733312
1095.71972656,3733412
1126.40527344,3733512
1109.35925293,3733612
986.723510742,3733712
976.030639648,3733812
1032.52893066,3733912
1033.3302002,3734012
1000.93139648,3734112
1021.69848633,3734212
1096.22631836,3734312
1115.29101562,3734412
1126.59753418,3734512
1036.25891113,3734612
1052.74243164,3734712
1055.90771484,3734812
1195.49291992,3734912
1098.49206543,3735012
1080.96057129,3735112
1053.54553223,3735212
1039.04919434,3735312
1159.11022949,3735412
1156.55310059,3735512
1121.0736084,3735612
1160.20349121,3735712
1107.77087402,3735812
1054.84643555,3735912
1057.48815918,3736012
1146.78955078,3736112
1099.05627441,3736212
1174.69055176,3736312
1179.56091309,3736412
1183.09277344,3736512
1189.60083008,3736612
1180.99145508,3736712
1187.46606445,3736812
1224.26013184,3736912
1195.03820801,3737012
1234.02624512,3737112
1233.43615723,3737212
1218.34802246,3737312
1212.94921875,3737412
1238.62194824,3737512
1293.54309082,3737612
1230.59362793,3737712
1228.93591309,3737812
1237.49963379,3737912
1193.68066406,3738012
1212.03967285,3738112
1217.9822998,3738212
1305.49304199,3738312
1305.14147949,3738412
1277.31359863,3738512
1273.26403809,3738612
1285.01757812,3738712
1237.95007324,3738812
1271.01257324,3738912
1277.38122559,3739012
1182.03540039,3739112
1213.89404297,3739212
1347.15905762,3739312
1353.55456543,3739412
1315.59057617,3739512
1306.99780273,3739612
1321.84265137,3739712
1338.80090332,3739812
1320.72521973,3739912
1338.76794434,3740012
1365.51013184,3740112
1408.7376709,3740212
1379.27697754,3740312
1305.53759766,3740412
1294.60632324,3740512
1334.17443848,3740612
1310.12731934,3740712
1278.92541504,3740812
1296.04626465,3740912
1329.41564941,3741012
1289.33728027,3741112
1372.7677002,3741212
1396.13952637,3741312
1416.23522949,3741412
1354.60009766,3741512
1376.67749023,3741612
1306.00817871,3741712
1373.68945312,3741812
1355.88256836,3741912
1325.00598145,3742012
1380.62939453,3742112
1453.48669434,3742212
1404.0567627,3742312
1380.58874512,3742412
1356.67980957,3742512
1350.21472168,3742612
1397.51452637,3742712
1438.79626465,3742812
1429.00537109,3742912
1442.16223145,3743012
1399.3190918,3743112
1374.20703125,3743212
1405.87561035,3743312
1471.61547852,3743412
1524.29125977,3743512
1473.13842773,3743612
1471.10913086,3743712
1479.90710449,3743812
1537.43054199,3743912
1536.9720459,3744012
1556.54675293,3744112
1452.03796387,3744212
1527.53930664,3744312
1540.1060791,3744412
1476.46508789,3744512
1448.84301758,3744612
1476.17028809,3744712
1465.85827637,3744812
1459.06726074,3744912
1482.90161133,3745012
1391.44470215,3745112
1451.09741211,3745212
1454.27478027,3745312
1502.2800293,3745412
1498.77990723,3745512
1445.6373291,3745612
1442.91125488,3745712
1489.51757812,3745812
1545.97216797,3745912
1588.61755371,3746012
1567.2869873,3746112
1540.29956055,3746212
1568.31555176,3746312
1546.24987793,3746412
1484.66101074,3746512
1564.83947754,3746612
1524.36547852,3746712
1599.85070801,3746812
1627.41760254,3746912
1560.19775391,3747012
1549.68444824,3747112
1572.73083496,3747212
1539.51306152,3747312
1509.62744141,3747412
1511.2097168,3747512
1499.02038574,3747612
1503.2364502,3747712
1466.92028809,3747812
1466.9987793,3747912
1554.07580566,3748012
1492.58288574,3748112
1479.76855469,3748212
1528.95275879,3748312
1510.22473145,3748412
1580.53845215,3748512
1625.84875488,3748612
1433.41003418,3748712
1470.95239258,3748812
1462.25354004,3748912
1490.93615723,3749012
1433.52307129,3749112
1496.82263184,3749212
1462.96972656,3749312
1404.73681641,3749412
1494.70227051,3749512
1490.49182129,3749612
1510.2989502,3749712
1473.69934082,3749812
1469.49511719,3749912
1514.09204102,3750012
1469.38635254,3750112
1429.40490723,3750212
1475.72033691,3750312
1446.87487793,3750412
1473.10754395,3750512
1420.67199707,3750612
1402.67114258,3750712
1469.30041504,3750812
1433.52185059,3750912
1409.86254883,3751012
1390.08911133,3751112
1404.40783691,3751212
1398.24377441,3751312
1414.85314941,3751412
1395.91723633,3751512
1401.9642334,3751612
1402.29943848,3751712
1368.55236816,3751812
1420.57995605,3751912
1355.24645996,3752012
1363.7121582,3752112
1362.30371094,3752212
1350.20178223,3752312
1329.51074219,3752412
1349.15490723,3752512
1299.30554199,3752612
1379.4029541,3752712
1354.20544434,3752812
1380.52282715,3752912
1402.11657715,3753012
1378.07019043,3753112
1341.57067871,3753212
1325.25500488,3753312
1319.48742676,3753412
1272.90026855,3753512
1321.55505371,3753612
1305.89172363,3753712
1295.20983887,3753812
1238.17834473,3753912
1298.52429199,3754012
1281.3236084,3754112
1214.23352051,3754212
1217.89123535,3754312
1282.40270996,3754412
1305.48095703,3754512
1302.88635254,3754612
1289.47875977,3754712
1260.60949707,3754812
1227.19958496,3754912
1223.61218262,3755012
1231.58410645,3755112
1257.98046875,3755212
1206.57434082,3755312
1178.55529785,3755412
1308.58288574,3755512
1178.9864502,3755612
1233.36584473,3755712
1198.76867676,3755812
1178.19128418,3755912
1238.30859375,3756012
1210.09753418,3756112
1218.60192871,3756212
1195.41894531,3756312
1088.68859863,3756412
1012.13598633,3756512
1165.9317627,3756612
1257.85754395,3756712
1213.7689209,3756812
1140.42614746,3756912
1130.44238281,3757012
1126.60559082,3757112
1154.52233887,3757212
1140.11730957,3757312
966.657714844,3757412
970.421020508,3757512
1021.49902344,3757612
1055.24206543,3757712
993.794433594,3757812
1069.25366211,3757912
1145.44152832,3758012
1119.1763916,3758112
1165.90515137,3758212
1100.91918945,3758312
945.578613281,3758412
1141.0838623,3758512
1089.27856445,3758612
972.81439209,3758712
906.017578125,3758812
878.267578125,3758912
1005.1920166,3759012
1039.09069824,3759112
1004.50793457,3759212
1088.21594238,3759312
1012.54498291,3759412
930.829162598,3759512
1014.79821777,3759612
1012.32348633,3759712
1012.90771484,3759812
1108.74865723,3759912
921.274108887,3760012
936.868530273,3760112
954.93182373,3760212
904.241088867,3760312
942.19909668,3760412
1106.5291748,3760512
1059.70690918,3760612
1004.3762207,3760712
903.711425781,3760812
871.702941895,3760912
951.172607422,3761012
886.435180664,3761112
923.978149414,3761212
1009.24719238,3761312
1002.52319336,3761412
1014.09960938,3761512
1024.64733887,3761612
903.587402344,3761712
940.572998047,3761812
1076.71289062,3761912
1056.6262207,3762012
1111.51806641,3762112
868.258422852,3762212
